establishment_id,codigo_deis,servicio_salud,tipo_establecimiento,dependencia,nombre_oficial,comuna,via,numero,direccion,region,source_url,fetched_at
est_83a4478c81c045b3,117444,Ñuble,Posta de Salud Rural,Municipal,Posta de Salud Rural Denecan,TREGUACO,Calle,S/N,Caserío Denecan,Nuble,https://www.minsal.cl/wp-content/uploads/2018/12/Listado-Establecimientos-DEIS.pdf,2026-04-01T11:21:58
est_021ec7b2c95db4fa,117445,Ñuble,Posta de Salud Rural,Municipal,Posta de Salud Rural Vegas de Itata,COELEMU,Calle,S/N,Aldea de Vegas de Itata,Nuble,https://www.minsal.cl/wp-content/uploads/2018/12/Listado-Establecimientos-DEIS.pdf,2026-04-01T11:21:58
est_83fe66774dd5daaf,117446,Ñuble,Posta de Salud Rural,Municipal,Posta de Salud Rural Minas de Leuque,TREGUACO,Calle,S/N,Sector Minas de Leuque,Nuble,https://www.minsal.cl/wp-content/uploads/2018/12/Listado-Establecimientos-DEIS.pdf,2026-04-01T11:21:58
est_1a3ef0b27600fb8d,117447,Ñuble,Posta de Salud Rural,Municipal,Posta de Salud Rural Cucha Cox,PORTEZUELO,Calle,S/N,Sector Cucha Cox,Nuble,https://www.minsal.cl/wp-content/uploads/2018/12/Listado-Establecimientos-DEIS.pdf,2026-04-01T11:21:58
est_760d1d1fbd792960,117448,Ñuble,Posta de Salud Rural,Municipal,Posta de Salud Rural Liucura Alto,QUILLÓN,Calle,S/N,Sector Liucura Alto,Nuble,https://www.minsal.cl/wp-content/uploads/2018/12/Listado-Establecimientos-DEIS.pdf,2026-04-01T11:21:58
est_e13d305738fc7a35,117449,Ñuble,Posta de Salud Rural,Municipal,Posta de Salud Rural Juan Enrique Mora,QUILLÓN,Calle,S/N,Aldea Coyanco,Nuble,https://www.minsal.cl/wp-content/uploads/2018/12/Listado-Establecimientos-DEIS.pdf,2026-04-01T11:21:58
est_b1e78c2ad1a6f9d5,117450,Ñuble,Posta de Salud Rural,Municipal,Posta de Salud Rural Casino,QUILLÓN,Calle,S/N,Sector Casino,Nuble,https://www.minsal.cl/wp-content/uploads/2018/12/Listado-Establecimientos-DEIS.pdf,2026-04-01T11:21:58
est_00f470f877aa137d,117451,Ñuble,Posta de Salud Rural,Municipal,Posta de Salud Rural Buchupureo,COBQUECURA CALLE,S/N,Aldea de Buchupureo,,Nuble,https://www.minsal.cl/wp-content/uploads/2018/12/Listado-Establecimientos-DEIS.pdf,2026-04-01T11:21:58
est_08da2823c57d7b2c,117452,Ñuble,Posta de Salud Rural,Municipal,Posta de Salud Rural Colmuyao,COBQUECURA CALLE,S/N,Caserío de Colmuyao,,Nuble,https://www.minsal.cl/wp-content/uploads/2018/12/Listado-Establecimientos-DEIS.pdf,2026-04-01T11:21:58
est_33d4af4dd51b09a0,117454,Ñuble,Posta de Salud Rural,Municipal,Posta de Salud Rural El Calvario,SAN IGNACIO,Calle,S/N,Caserío El Calvario,Nuble,https://www.minsal.cl/wp-content/uploads/2018/12/Listado-Establecimientos-DEIS.pdf,2026-04-01T11:21:58
est_d1d53e029e6fe82e,117455,Ñuble,Consultorio General Rural,Municipal,Consultorio General Rural de Pueblo Seco,SAN IGNACIO,Calle,S/N,Pueblo Seco,Nuble,https://www.minsal.cl/wp-content/uploads/2018/12/Listado-Establecimientos-DEIS.pdf,2026-04-01T11:21:58
est_e7d6d6f4c2b67d3a,117457,Ñuble,Posta de Salud Rural,Municipal,Posta de Salud Rural Capilla Norte,EL CARMEN,Calle,S/N,Sector Capilla Norte,Nuble,https://www.minsal.cl/wp-content/uploads/2018/12/Listado-Establecimientos-DEIS.pdf,2026-04-01T11:21:58
est_aea0d824b58e51f0,117458,Ñuble,Posta de Salud Rural,Municipal,Posta de Salud Rural San Antonio (Yungay),YUNGAY,Calle,S/N,Sector San Antonio,Nuble,https://www.minsal.cl/wp-content/uploads/2018/12/Listado-Establecimientos-DEIS.pdf,2026-04-01T11:21:58
est_8fe9df0fca62b262,117459,Ñuble,Posta de Salud Rural,Municipal,Posta de Salud Rural Capellanía,PORTEZUELO,Calle,S/N,Sector Capellanía,Nuble,https://www.minsal.cl/wp-content/uploads/2018/12/Listado-Establecimientos-DEIS.pdf,2026-04-01T11:21:58
est_1d117ad1915e3df1,117461,Ñuble,Posta de Salud Rural,Municipal,Posta de Salud Rural Toquihua,SAN CARLOS,Calle,S/N,Sector Toquihua,Nuble,https://www.minsal.cl/wp-content/uploads/2018/12/Listado-Establecimientos-DEIS.pdf,2026-04-01T11:21:58
est_cd6cb3ed1fe26ab2,117462,Ñuble,Posta de Salud Rural,Municipal,Posta de Salud Rural Arizona,SAN CARLOS,Calle,S/N,Caserío de Arizona,Nuble,https://www.minsal.cl/wp-content/uploads/2018/12/Listado-Establecimientos-DEIS.pdf,2026-04-01T11:21:58
est_96807f7e05735e5c,117463,Ñuble,Posta de Salud Rural,Municipal,Posta de Salud Rural El Rincón,NINHUE,Calle,S/N,Caserío El Rincón,Nuble,https://www.minsal.cl/wp-content/uploads/2018/12/Listado-Establecimientos-DEIS.pdf,2026-04-01T11:21:58
est_545e33bd81dce41d,117464,Ñuble,Posta de Salud Rural,Municipal,Posta de Salud Rural Zemita,NIQUEN,Calle,S/N,Caserío Zemita el Peumo,Nuble,https://www.minsal.cl/wp-content/uploads/2018/12/Listado-Establecimientos-DEIS.pdf,2026-04-01T11:21:58
